cmp,PACT_name,FEMA_name,unit,quantity,PACT_block,directional,lab_mean,health_mean,edu_mean,res_mean,office_mean,retail_mean,warehouse_mean,hotel_mean,lab_std,health_std,edu_std,res_std,office_std,retail_std,warehouse_std,hotel_std
E.20.22.114b,"E2022.114b    Vertical Filing Cabinet, 4 drawer, anchored laterally","Filing Cabinets, lateral 4 drawer",EA,1,EA 1,NO,0.0003,0.0004,,,0.0008,,,,0.3,0.4,All Zero,All Zero,0.6,All Zero,All Zero,All Zero
E.20.22.106b,"E2022.106b    Bookcase, 6 shelves, anchored laterally","Bookcases, 6-7 shelf, 3' wide",EA,1,EA 1,NO,0.003,0.001,,,0.002,,,,0.5,0.9,All Zero,All Zero,0.6,All Zero,All Zero,All Zero
F.10.12.001,"F1012.001    Storage racks designed and installed before 2007, big box retail (12' to 15' tall)",Storage Racks,LF,1,LF 50,NO,,,,,,,0.1,,All Zero,All Zero,All Zero,All Zero,All Zero,All Zero,0.4,All Zero
C.20.11.001a,C2011.001a    Prefabricated steel stair with steel treads and landings with seismic joints that accommodate drift.,Stairs,EA,1,EA 1,YES,0.0001,8E-05,7E-05,0.00012,0.0001,0.0001,0,0.00011,0.2,0.1,0.2,0.1,0.2,0.3,All Zero,0.1
D.10.14.011,"D1014.011    Traction Elevator – Applies to most California Installations 1976 or later, most western states installations 1982 or later and most other U.S installations 1998 or later.",Elevators,EA,1,EA 1,NO,1.7E-05,2.8E-05,2E-05,3.4E-05,2.8E-05,0.0001,0,1.5E-05,1.2,0.9,1.4,0.8,0.7,0.3,All Zero,0.2
D.20.21.012a,"D2021.012a    Cold or Hot Potable  - Small Diameter Threaded Steel - (2.5 inches in diameter or less), SDC C, PIPING FRAGILITY",Piping - Cold Domestic Water Piping  - 2 ½ inch diameter or smaller,LF,1000,LF 1000,NO,6E-05,0.00011,3E-05,0.000106,4.2E-05,3E-05,4.8E-06,8E-05,0.3,0.2,0.2,0.4,0.7,0.2,0.2,0.3
D.20.21.022a,"D2021.022a    Cold or Hot Potable Water Piping (dia > 2.5 inches), SDC C, PIPING FRAGILITY",Piping - Cold Domestic Water Piping – greater than 2 ½ diameter,LF,1000,LF 1000,NO,2E-05,4E-05,1.5E-05,1.5E-05,1.5E-05,1.5E-05,1.5E-05,1.5E-05,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
D.20.21.012a,"D2021.012a    Cold or Hot Potable  - Small Diameter Threaded Steel - (2.5 inches in diameter or less), SDC C, PIPING FRAGILITY",Piping - Hot Domestic Water Piping - 2 ½ inch diameter or smaller,LF,1000,LF 1000,NO,0.00012,0.00022,6E-05,0.000212,8.4E-05,6E-05,9.6E-06,0.00016,0.3,0.2,0.3,0.4,0.7,0.3,0.2,0.3
D.20.21.022a,"D2021.022a    Cold or Hot Potable Water Piping (dia > 2.5 inches), SDC C, PIPING FRAGILITY",Piping - Hot Domestic Waster Piping – greater than 2 ½ diameter,LF,1000,LF 1000,NO,4E-05,8E-05,3E-05,3E-05,3E-05,3E-05,3E-05,3E-05,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2
D.20.61.023a,"D2061.023a    Steam Piping - Large Diameter Welded Steel - (greater than 2.5 inches in diameter), SDC D, E, or F, PIPING FRAGILITY",Piping - Gas supply piping,LF,1000,LF 1000,NO,1E-05,1E-05,4E-05,4E-05,1.5E-05,4E-05,1.5E-05,4E-05,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
D.20.31.022a,"D2031.022a    Sanitary Waste Piping - Cast Iron w/bell and spigot couplings, SDC C, PIPING FRAGILITY",Piping - Sanitary Waste Piping,LF,1000,LF 1000,NO,8E-05,0.00015,4.5E-05,0.000121,5.7E-05,,1.98E-05,9.5E-05,0.3,0.2,0.2,0.4,0.6,All Zero,0.2,0.3
D.20.31.022a,"D2031.022a    Sanitary Waste Piping - Cast Iron w/bell and spigot couplings, SDC C, PIPING FRAGILITY",Piping - Process Piping - 2 ½ inch diameter or smaller,LF,1000,LF 1000,NO,0.0004,0.00016,,,,,,,0.2,0.2,All Zero,All Zero,All Zero,All Zero,All Zero,All Zero
D.20.31.022a,"D2031.022a    Sanitary Waste Piping - Cast Iron w/bell and spigot couplings, SDC C, PIPING FRAGILITY",Piping - Process Piping – greater than 2 ½ diameter,LF,1000,LF 1000,NO,0.00015,6E-05,,,,,,,0.2,0.2,All Zero,All Zero,All Zero,All Zero,All Zero,All Zero
D.20.31.022a,"D2031.022a    Sanitary Waste Piping - Cast Iron w/bell and spigot couplings, SDC C, PIPING FRAGILITY",Piping - Acid Waste Piping,LF,1000,LF 1000,NO,0.00015,6E-05,,,,4.5E-05,,,0.2,0.2,All Zero,All Zero,All Zero,0.2,All Zero,All Zero
D.30.31.013b,D3031.013b    Chiller - Capacity: < 100 Ton - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only,HVAC - Chiller capacity,TN,1,TN 75,NO,0.00325,0.00325,0,0,0.00285,0,0,0,0.1,0.1,2 Points = 0,2 Points = 0,0.1,2 Points = 0,2 Points = 0,2 Points = 0
D.30.31.023b,D3031.023b    Cooling Tower - Capacity: < 100 Ton - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only,HVAC - Cooling Tower capacity,TN,1,TN 75,NO,0.00325,0.00325,0,0,0.00285,0,0,0,0.1,0.1,2 Points = 0,2 Points = 0,0.1,2 Points = 0,2 Points = 0,2 Points = 0
D.30.52.013b,D3052.013b    Air Handling Unit - Capacity: <5000 CFM - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only,HVAC - Air Handling Units,CF,1,CF 4000,NO,1.25,1,0,0,0.7,0,0.2,0,0.2,0.2,2 Points = 0,2 Points = 0,0.2,2 Points = 0,0.8,2 Points = 0
D.30.41.103b,D3041.103b    HVAC Fan - Capacity: all - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only,HVAC - Fans,CF,1,EA 1,NO,1.25,1,,,0,0,0,,0.2,0.2,All Zero,All Zero,All Zero,2 Points = 0,2 Points = 0,All Zero
D.30.41.012b,"D3041.012b    HVAC Galvanized Sheet Metal Ducting -  6 sq. ft cross sectional area or greater, SDC C",HVAC - HVAC Ducts – 6 sq. feet for larger,LF,1000,LF 1000,NO,5E-05,3.5E-05,0,0,2E-05,5E-05,0,0,0.3,0.2,2 Points = 0,2 Points = 0,0.2,0.6,2 Points = 0,2 Points = 0
D.30.41.011b,"D3041.011b    HVAC Galvanized Sheet Metal Ducting less than 6 sq. ft in cross sectional area, SDC C",HVAC - HVAC Ducts – less than 6 sq. feet,LF,1000,LF 1000,NO,0.0001,7.5E-05,5E-05,5E-05,7.5E-05,5E-06,4E-05,5E-05,0.2,0.2,0.6,0.6,0.2,0.2,0.6,0.6
D.30.41.032b,"D3041.032b    HVAC Drops / Diffusers without ceilings - supported by ducting only - No independent safety wires, SDC C",HVAC - HVAC in-line Drops & Diffusers,EA,1,EA 10,NO,0.016,0.02,0.005,0.008,0.009,0,0.003,0.008,0.2,0.1,0.6,0.4,0.5,2 Points = 0,0.4,0.4
D.30.41.002b,"D3041.002b    HVAC Fan In Line Fan, Fan independently supported but not on vibration isolators, SDC C",HVAC - HVAC in-line Coils,EA,1,EA 10,NO,0.002,0.005,0,0,0.005,0,0,0,0.2,0.2,2 Points = 0,2 Points = 0,0.2,2 Points = 0,2 Points = 0,2 Points = 0
D.30.41.041b,"D3041.041b    Variable Air Volume (VAV) box with in-line coil, SDC C",HVAC - VAV Boxes,EA,1,EA 10,NO,0.0003,0.005,0,0,0.002,0.004,0,0,0.7,0.2,2 Points = 0,2 Points = 0,0.5,0.4,2 Points = 0,2 Points = 0
D.30.41.041b,"D3041.041b    Variable Air Volume (VAV) box with in-line coil, SDC C",HVAC - Fan Coil Unis,EA,1,EA 10,NO,,,0.004,0.004,,,,0.006,All Zero,All Zero,0.4,0.4,All Zero,All Zero,All Zero,0.3
D.20.51.012a,"D2051.012a    Chilled Water Piping - Small Diameter Threaded Steel - (2.5 inches in diameter or less), SDC C, PIPING FRAGILITY",Piping - Steam & Chilled Water Piping - 2 ½ inch diameter or smaller,LF,1000,LF 1000,NO,1E-05,2E-05,0,0,0,0,0,0,0.2,0.2,2 Points = 0,2 Points = 0,2 Points = 0,2 Points = 0,2 Points = 0,2 Points = 0
D.20.51.022a,"D2051.022a    Chilled Water Piping - Large Diameter Welded Steel - (greater than 2.5 inches in diameter), SDC C, PIPING FRAGILITY",Piping - Steam & Chilled Water Piping – greater than 2 ½ diameter,LF,1000,LF 1000,NO,2E-05,3E-05,5E-06,0,0,5E-06,0,0,0.2,0.2,0.2,2 Points = 0,2 Points = 0,0.2,2 Points = 0,2 Points = 0
D.20.22.012a,"D2022.012a    Heating hot Water Piping - Small Diameter Threaded Steel - (2.5 inches in diameter or less), SDC C, PIPING FRAGILITY",Piping - Heating Water Piping - 2 ½ inch diameter or smaller,LF,1000,LF 1000,NO,8E-05,8E-05,2.5E-05,5E-06,5E-06,2.5E-05,5E-06,5E-06,0.2,0.2,0.6,0.2,0.2,0.6,0.2,0.2
D.20.22.022a,"D2022.022a    Heating hot Water Piping - Large Diameter Welded Steel - (greater than 2.5 inches in diameter), SDC C, PIPING FRAGILITY",Piping - Heating Water Piping – greater than 2 ½ diameter,LF,1000,LF 1000,NO,3E-05,3E-05,5E-06,5E-06,5E-06,5E-06,5E-06,5E-06,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
D.50.11.013e,D5011.013e    Transformer/primary service - Capacity: 100 to <350 kVA - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only,Electrical - Electrical Load,WT,1,KV 250,NO,22.8,23.1,18.8,11.4,16.2,18.8,6,11,0.5,0.4,0.4,0.4,0.5,0.4,0.5,0.3
D.50.12.013c,D5012.013c    Motor Control Center - Capacity: all - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only,Electrical - Motor Control Centers,EA,1,EA 1,NO,4E-05,5E-05,4E-05,0,4E-05,0,0,0,0.5,0.4,0.5,2 Points = 0,0.5,2 Points = 0,2 Points = 0,2 Points = 0
D.50.11.013b,D5011.013b    Transformer/primary service - Capacity: <100 kVA - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only,Electrical - Transformers < 100kVA,EA,1,KV 75,NO,0.0001,0.0001,0.0001,5E-05,0.0001,0.0001,5E-05,0.0001,0.5,0.8,0.5,0.5,0.5,0.5,0.4,0.5
D.50.12.033b,D5012.033b    Distribution Panel - Capacity: 100 to <350 Amp - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only,Electrical - Distribution Panel,EA,1,AP 225,NO,4E-05,6E-05,4E-05,1.3E-05,4E-05,3E-05,2E-05,3E-05,0.5,0.4,0.5,0.2,0.5,0.4,0.5,0.5
D.50.12.023b,D5012.023b    Low Voltage Switchgear - Capacity: 100 to <350 Amp - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only,Electrical - Wall mounted switchgear,AP,1,AP 225,NO,0.0003,0.0003,0.0003,0.0008,0.0003,0.0003,0.0001,0.0003,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.4
C.30.34.002,C3034.002    Independent Pendant Lighting - seismically rated,Electrical - Lighting Fixtures – Lay in fluorescent,EA,1,EA 1,NO,0.015,0.015,0.015,0,0.015,0.015,0,0,0.2,0.2,0.2,2 Points = 0,0.3,0.2,All Zero,2 Points = 0
C.30.34.002,C3034.002    Independent Pendant Lighting - seismically rated,Electrical - Lighting Fixtures – Stem hung fluorescent,EA,1,EA 1,NO,0.015,0.015,0.015,0,0.015,0.015,0.015,0,0.2,0.2,0.2,2 Points = 0,0.3,0.2,0.3,2 Points = 0
D.50.92.033b,D5092.033b    Diesel generator - Capacity: 100 to <350 kVA - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only,Electrical - Standby generators,KV,1,KV 250,NO,0.005,0.005,0,0,0,0,0,0,0.7,0.7,All Zero,All Zero,All Zero,All Zero,All Zero,All Zero
D.40.11.022a,"D4011.022a    Fire Sprinkler Water Piping - Horizontal Mains and Branches - Old Style Victaulic - Thin Wall Steel - No bracing, SDC C, PIPING FRAGILITY",Fire Protection - Sprinkler Piping,LF,20,LF 1000,NO,0.01,0.011,0.009,0.011,0.01,0.009,0.0055,0.011,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
D.40.11.032a,"D4011.032a    Fire Sprinkler Drop Standard Threaded Steel - Dropping into unbraced lay-in tile SOFT ceiling - 6 ft. long drop maximum, SDC C",Fire Protection - Sprinkler Drops,EA,1,EA 100,NO,0.01,0.012,0.008,0.012,0.009,0.008,0.008,0.012,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.1
