Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,Ht,h,OD,bf,B,b,ID,tw,tf,t,tnom,tdes,kdes,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J
W,W24X306,W24X306,T,306,89.7,27.1,–,–,–,13.4,–,–,–,1.26,2.28,–,–,–,2.78,–,–,–,–,–,2.94,–,–,17.1,–,–,10700,922,789,10.9,919,214,137,3.2,–,–,–,117
W,W24X279,W24X279,T,279,81.9,26.7,–,–,–,13.3,–,–,–,1.16,2.09,–,–,–,2.59,–,–,–,–,–,3.18,–,–,18.6,–,–,9600,835,718,10.8,823,193,124,3.17,–,–,–,90.5
W,W24X250,W24X250,F,250,73.5,26.3,–,–,–,13.2,–,–,–,1.04,1.89,–,–,–,2.39,–,–,–,–,–,3.49,–,–,20.7,–,–,8490,744,644,10.7,724,171,110,3.14,–,–,–,66.6
W,W24X229,W24X229,F,229,67.2,26,–,–,–,13.1,–,–,–,0.96,1.73,–,–,–,2.23,–,–,–,–,–,3.79,–,–,22.5,–,–,7650,675,588,10.7,651,154,99.4,3.11,–,–,–,51.3
W,W24X207,W24X207,F,207,60.7,25.7,–,–,–,13,–,–,–,0.87,1.57,–,–,–,2.07,–,–,–,–,–,4.14,–,–,24.8,–,–,6820,606,531,10.6,578,137,88.8,3.08,–,–,–,38.3
W,W24X192,W24X192,F,192,56.5,25.5,–,–,–,13,–,–,–,0.81,1.46,–,–,–,1.96,–,–,–,–,–,4.43,–,–,26.6,–,–,6260,559,491,10.5,530,126,81.8,3.07,–,–,–,30.8
W,W24X176,W24X176,F,176,51.7,25.2,–,–,–,12.9,–,–,–,0.75,1.34,–,–,–,1.84,–,–,–,–,–,4.81,–,–,28.7,–,–,5680,511,450,10.5,479,115,74.3,3.04,–,–,–,23.9
W,W24X162,W24X162,F,162,47.8,25,–,–,–,13,–,–,–,0.705,1.22,–,–,–,1.72,–,–,–,–,–,5.31,–,–,30.6,–,–,5170,468,414,10.4,443,105,68.4,3.05,–,–,–,18.5
W,W24X146,W24X146,F,146,43,24.7,–,–,–,12.9,–,–,–,0.65,1.09,–,–,–,1.59,–,–,–,–,–,5.92,–,–,33.2,–,–,4580,418,371,10.3,391,93.2,60.5,3.01,–,–,–,13.4
W,W24X131,W24X131,F,131,38.6,24.5,–,–,–,12.9,–,–,–,0.605,0.96,–,–,–,1.46,–,–,–,–,–,6.7,–,–,35.6,–,–,4020,370,329,10.2,340,81.5,53,2.97,–,–,–,9.5
W,W24X117,W24X117,F,117,34.4,24.3,–,–,–,12.8,–,–,–,0.55,0.85,–,–,–,1.35,–,–,–,–,–,7.53,–,–,39.2,–,–,3540,327,291,10.1,297,71.4,46.5,2.94,–,–,–,6.72
W,W24X104,W24X104,F,104,30.7,24.1,–,–,–,12.8,–,–,–,0.5,0.75,–,–,–,1.25,–,–,–,–,–,8.5,–,–,43.1,–,–,3100,289,258,10.1,259,62.4,40.7,2.91,–,–,–,4.72
W,W24X103,W24X103,F,103,30.3,24.5,–,–,–,9,–,–,–,0.55,0.98,–,–,–,1.48,–,–,–,–,–,4.59,–,–,39.2,–,–,3000,280,245,10,119,41.5,26.5,1.99,–,–,–,7.07
W,W24X94,W24X94,F,94,27.7,24.3,–,–,–,9.07,–,–,–,0.515,0.875,–,–,–,1.38,–,–,–,–,–,5.18,–,–,41.9,–,–,2700,254,222,9.87,109,37.5,24,1.98,–,–,–,5.26
W,W24X84,W24X84,F,84,24.7,24.1,–,–,–,9.02,–,–,–,0.47,0.77,–,–,–,1.27,–,–,–,–,–,5.86,–,–,45.9,–,–,2370,224,196,9.79,94.4,32.6,20.9,1.95,–,–,–,3.7
W,W24X76,W24X76,F,76,22.4,23.9,–,–,–,8.99,–,–,–,0.44,0.68,–,–,–,1.18,–,–,–,–,–,6.61,–,–,49,–,–,2100,200,176,9.69,82.5,28.6,18.4,1.92,–,–,–,2.68
W,W24X68,W24X68,F,68,20.1,23.7,–,–,–,8.97,–,–,–,0.415,0.585,–,–,–,1.09,–,–,–,–,–,7.66,–,–,52,–,–,1830,177,154,9.55,70.4,24.5,15.7,1.87,–,–,–,1.87
W,W24X62,W24X62,F,62,18.2,23.7,–,–,–,7.04,–,–,–,0.43,0.59,–,–,–,1.09,–,–,–,–,–,5.97,–,–,50.1,–,–,1550,153,131,9.23,34.5,15.7,9.8,1.38,–,–,–,1.71
W,W24X55,W24X55,F,55,16.2,23.6,–,–,–,7.01,–,–,–,0.395,0.505,–,–,–,1.01,–,–,–,–,–,6.94,–,–,54.6,–,–,1350,134,114,9.11,29.1,13.3,8.3,1.34,–,–,–,1.18
W,W21X275,W21X275,T,275,81.8,24.1,–,–,–,12.9,–,–,–,1.22,2.19,–,–,–,3.37,–,–,–,–,–,2.95,–,–,14.2,–,–,7690,749,638,9.7,787,191,122,3.1,–,–,–,107
W,W21X248,W21X248,F,248,73.8,23.7,–,–,–,12.8,–,–,–,1.1,1.99,–,–,–,3.17,–,–,–,–,–,3.22,–,–,15.8,–,–,6830,671,576,9.62,699,170,109,3.08,–,–,–,80.7
W,W21X223,W21X223,F,223,66.5,23.4,–,–,–,12.7,–,–,–,1,1.79,–,–,–,2.97,–,–,–,–,–,3.55,–,–,17.5,–,–,6080,601,520,9.56,614,150,96.7,3.04,–,–,–,59.5
W,W21X201,W21X201,F,201,59.3,23,–,–,–,12.6,–,–,–,0.91,1.63,–,–,–,2.13,–,–,–,–,–,3.86,–,–,20.6,–,–,5310,530,461,9.47,542,133,86.1,3.02,–,–,–,40.9
W,W21X182,W21X182,F,182,53.6,22.7,–,–,–,12.5,–,–,–,0.83,1.48,–,–,–,1.98,–,–,–,–,–,4.22,–,–,22.6,–,–,4730,476,417,9.4,483,119,77.2,3,–,–,–,30.7
W,W21X166,W21X166,F,166,48.8,22.5,–,–,–,12.4,–,–,–,0.75,1.36,–,–,–,1.86,–,–,–,–,–,4.57,–,–,25,–,–,4280,432,380,9.36,435,108,70,2.99,–,–,–,23.6
W,W21X147,W21X147,F,147,43.2,22.1,–,–,–,12.5,–,–,–,0.72,1.15,–,–,–,1.65,–,–,–,–,–,5.44,–,–,26.1,–,–,3630,373,329,9.17,376,92.6,60.1,2.95,–,–,–,15.4
W,W21X132,W21X132,F,132,38.8,21.8,–,–,–,12.4,–,–,–,0.65,1.04,–,–,–,1.54,–,–,–,–,–,6.01,–,–,28.9,–,–,3220,333,295,9.12,333,82.3,53.5,2.93,–,–,–,11.3
W,W21X122,W21X122,F,122,35.9,21.7,–,–,–,12.4,–,–,–,0.6,0.96,–,–,–,1.46,–,–,–,–,–,6.45,–,–,31.3,–,–,2960,307,273,9.09,305,75.6,49.2,2.92,–,–,–,8.98
W,W21X111,W21X111,F,111,32.6,21.5,–,–,–,12.3,–,–,–,0.55,0.875,–,–,–,1.38,–,–,–,–,–,7.05,–,–,34.1,–,–,2670,279,249,9.05,274,68.2,44.5,2.9,–,–,–,6.83
W,W21X101,W21X101,F,101,29.8,21.4,–,–,–,12.3,–,–,–,0.5,0.8,–,–,–,1.3,–,–,–,–,–,7.68,–,–,37.5,–,–,2420,253,227,9.02,248,61.7,40.3,2.89,–,–,–,5.21
W,W21X93,W21X93,F,93,27.3,21.6,–,–,–,8.42,–,–,–,0.58,0.93,–,–,–,1.43,–,–,–,–,–,4.53,–,–,32.3,–,–,2070,221,192,8.7,92.9,34.7,22.1,1.84,–,–,–,6.03
W,W21X83,W21X83,F,83,24.4,21.4,–,–,–,8.36,–,–,–,0.515,0.835,–,–,–,1.34,–,–,–,–,–,5,–,–,36.4,–,–,1830,196,171,8.67,81.4,30.5,19.5,1.83,–,–,–,4.34
W,W21X73,W21X73,F,73,21.5,21.2,–,–,–,8.3,–,–,–,0.455,0.74,–,–,–,1.24,–,–,–,–,–,5.6,–,–,41.2,–,–,1600,172,151,8.64,70.6,26.6,17,1.81,–,–,–,3.02
W,W21X68,W21X68,F,68,20,21.1,–,–,–,8.27,–,–,–,0.43,0.685,–,–,–,1.19,–,–,–,–,–,6.04,–,–,43.6,–,–,1480,160,140,8.6,64.7,24.4,15.7,1.8,–,–,–,2.45
W,W21X62,W21X62,F,62,18.3,21,–,–,–,8.24,–,–,–,0.4,0.615,–,–,–,1.12,–,–,–,–,–,6.7,–,–,46.9,–,–,1330,144,127,8.54,57.5,21.7,14,1.77,–,–,–,1.83
W,W21X55,W21X55,F,55,16.2,20.8,–,–,–,8.22,–,–,–,0.375,0.522,–,–,–,1.02,–,–,–,–,–,7.87,–,–,50,–,–,1140,126,110,8.4,48.4,18.4,11.8,1.73,–,–,–,1.24
W,W21X57,W21X57,F,57,16.7,21.1,–,–,–,6.56,–,–,–,0.405,0.65,–,–,–,1.15,–,–,–,–,–,5.04,–,–,46.3,–,–,1170,129,111,8.36,30.6,14.8,9.35,1.35,–,–,–,1.77
W,W21X50,W21X50,F,50,14.7,20.8,–,–,–,6.53,–,–,–,0.38,0.535,–,–,–,1.04,–,–,–,–,–,6.1,–,–,49.4,–,–,984,110,94.5,8.18,24.9,12.2,7.64,1.3,–,–,–,1.14
W,W21X44,W21X44,F,44,13,20.7,–,–,–,6.5,–,–,–,0.35,0.45,–,–,–,0.95,–,–,–,–,–,7.22,–,–,53.6,–,–,843,95.4,81.6,8.06,20.7,10.2,6.37,1.26,–,–,–,0.77
W,W18X311,W18X311,T,311,91.6,22.3,–,–,–,12,–,–,–,1.52,2.74,–,–,–,3.24,–,–,–,–,–,2.19,–,–,10.4,–,–,6970,754,624,8.72,795,207,132,2.95,–,–,–,176
W,W18X283,W18X283,T,283,83.3,21.9,–,–,–,11.9,–,–,–,1.4,2.5,–,–,–,3,–,–,–,–,–,2.38,–,–,11.3,–,–,6170,676,565,8.61,704,185,118,2.91,–,–,–,134
W,W18X258,W18X258,T,258,76,21.5,–,–,–,11.8,–,–,–,1.28,2.3,–,–,–,2.7,–,–,–,–,–,2.56,–,–,12.5,–,–,5510,611,514,8.53,628,166,107,2.88,–,–,–,103
W,W18X234,W18X234,T,234,68.6,21.1,–,–,–,11.7,–,–,–,1.16,2.11,–,–,–,2.51,–,–,–,–,–,2.76,–,–,13.8,–,–,4900,549,466,8.44,558,149,95.8,2.85,–,–,–,78.7
W,W18X211,W18X211,F,211,62.3,20.7,–,–,–,11.6,–,–,–,1.06,1.91,–,–,–,2.31,–,–,–,–,–,3.02,–,–,15.1,–,–,4330,490,419,8.35,493,132,85.3,2.82,–,–,–,58.6
W,W18X192,W18X192,F,192,56.2,20.4,–,–,–,11.5,–,–,–,0.96,1.75,–,–,–,2.15,–,–,–,–,–,3.27,–,–,16.7,–,–,3870,442,380,8.28,440,119,76.8,2.79,–,–,–,44.7
W,W18X175,W18X175,F,175,51.4,20,–,–,–,11.4,–,–,–,0.89,1.59,–,–,–,1.99,–,–,–,–,–,3.58,–,–,18,–,–,3450,398,344,8.2,391,106,68.8,2.76,–,–,–,33.8
W,W18X158,W18X158,F,158,46.3,19.7,–,–,–,11.3,–,–,–,0.81,1.44,–,–,–,1.84,–,–,–,–,–,3.92,–,–,19.8,–,–,3060,356,310,8.12,347,94.8,61.4,2.74,–,–,–,25.2
W,W18X143,W18X143,F,143,42,19.5,–,–,–,11.2,–,–,–,0.73,1.32,–,–,–,1.72,–,–,–,–,–,4.25,–,–,22,–,–,2750,322,282,8.09,311,85.4,55.5,2.72,–,–,–,19.2
W,W18X130,W18X130,F,130,38.3,19.3,–,–,–,11.2,–,–,–,0.67,1.2,–,–,–,1.6,–,–,–,–,–,4.65,–,–,23.9,–,–,2460,290,256,8.03,278,76.7,49.9,2.7,–,–,–,14.5
W,W18X119,W18X119,F,119,35.1,19,–,–,–,11.3,–,–,–,0.655,1.06,–,–,–,1.46,–,–,–,–,–,5.31,–,–,24.5,–,–,2190,262,231,7.9,253,69.1,44.9,2.69,–,–,–,10.6
W,W18X106,W18X106,F,106,31.1,18.7,–,–,–,11.2,–,–,–,0.59,0.94,–,–,–,1.34,–,–,–,–,–,5.96,–,–,27.2,–,–,1910,230,204,7.84,220,60.5,39.4,2.66,–,–,–,7.48
W,W18X97,W18X97,F,97,28.5,18.6,–,–,–,11.1,–,–,–,0.535,0.87,–,–,–,1.27,–,–,–,–,–,6.41,–,–,30,–,–,1750,211,188,7.82,201,55.3,36.1,2.65,–,–,–,5.86
W,W18X86,W18X86,F,86,25.3,18.4,–,–,–,11.1,–,–,–,0.48,0.77,–,–,–,1.17,–,–,–,–,–,7.2,–,–,33.4,–,–,1530,186,166,7.77,175,48.4,31.6,2.63,–,–,–,4.1
W,W18X76,W18X76,F,76,22.3,18.2,–,–,–,11,–,–,–,0.425,0.68,–,–,–,1.08,–,–,–,–,–,8.11,–,–,37.8,–,–,1330,163,146,7.73,152,42.2,27.6,2.61,–,–,–,2.83
W,W18X71,W18X71,F,71,20.9,18.5,–,–,–,7.64,–,–,–,0.495,0.81,–,–,–,1.21,–,–,–,–,–,4.71,–,–,32.4,–,–,1170,146,127,7.5,60.3,24.7,15.8,1.7,–,–,–,3.49
W,W18X65,W18X65,F,65,19.1,18.4,–,–,–,7.59,–,–,–,0.45,0.75,–,–,–,1.15,–,–,–,–,–,5.06,–,–,35.7,–,–,1070,133,117,7.49,54.8,22.5,14.4,1.69,–,–,–,2.73
W,W18X60,W18X60,F,60,17.6,18.2,–,–,–,7.56,–,–,–,0.415,0.695,–,–,–,1.1,–,–,–,–,–,5.44,–,–,38.7,–,–,984,123,108,7.47,50.1,20.6,13.3,1.68,–,–,–,2.17
W,W18X55,W18X55,F,55,16.2,18.1,–,–,–,7.53,–,–,–,0.39,0.63,–,–,–,1.03,–,–,–,–,–,5.98,–,–,41.1,–,–,890,112,98.3,7.41,44.9,18.5,11.9,1.67,–,–,–,1.66
W,W18X50,W18X50,F,50,14.7,18,–,–,–,7.5,–,–,–,0.355,0.57,–,–,–,0.972,–,–,–,–,–,6.57,–,–,45.2,–,–,800,101,88.9,7.38,40.1,16.6,10.7,1.65,–,–,–,1.24
W,W18X46,W18X46,F,46,13.5,18.1,–,–,–,6.06,–,–,–,0.36,0.605,–,–,–,1.01,–,–,–,–,–,5.01,–,–,44.6,–,–,712,90.7,78.8,7.25,22.5,11.7,7.43,1.29,–,–,–,1.22
W,W18X40,W18X40,F,40,11.8,17.9,–,–,–,6.02,–,–,–,0.315,0.525,–,–,–,0.927,–,–,–,–,–,5.73,–,–,50.9,–,–,612,78.4,68.4,7.21,19.1,10,6.35,1.27,–,–,–,0.81
W,W18X35,W18X35,F,35,10.3,17.7,–,–,–,6,–,–,–,0.3,0.425,–,–,–,0.827,–,–,–,–,–,7.06,–,–,53.5,–,–,510,66.5,57.6,7.04,15.3,8.06,5.12,1.22,–,–,–,0.506
W,W16X100,W16X100,F,100,29.4,17,–,–,–,10.4,–,–,–,0.585,0.985,–,–,–,1.39,–,–,–,–,–,5.29,–,–,24.3,–,–,1490,198,175,7.1,186,54.9,35.7,2.51,–,–,–,7.73
W,W16X89,W16X89,F,89,26.2,16.8,–,–,–,10.4,–,–,–,0.525,0.875,–,–,–,1.28,–,–,–,–,–,5.92,–,–,27,–,–,1300,175,155,7.05,163,48.1,31.4,2.49,–,–,–,5.45
W,W16X77,W16X77,F,77,22.6,16.5,–,–,–,10.3,–,–,–,0.455,0.76,–,–,–,1.16,–,–,–,–,–,6.77,–,–,31.2,–,–,1110,150,134,7,138,41.1,26.9,2.47,–,–,–,3.57
W,W16X67,W16X67,F,67,19.6,16.3,–,–,–,10.2,–,–,–,0.395,0.665,–,–,–,1.07,–,–,–,–,–,7.7,–,–,35.9,–,–,954,130,117,6.96,119,35.5,23.2,2.46,–,–,–,2.39
W,W16X57,W16X57,F,57,16.8,16.4,–,–,–,7.12,–,–,–,0.43,0.715,–,–,–,1.12,–,–,–,–,–,4.98,–,–,33,–,–,758,105,92.2,6.72,43.1,18.9,12.1,1.6,–,–,–,2.22
W,W16X50,W16X50,F,50,14.7,16.3,–,–,–,7.07,–,–,–,0.38,0.63,–,–,–,1.03,–,–,–,–,–,5.61,–,–,37.4,–,–,659,92,81,6.68,37.2,16.3,10.5,1.59,–,–,–,1.52
W,W16X45,W16X45,F,45,13.3,16.1,–,–,–,7.04,–,–,–,0.345,0.565,–,–,–,0.967,–,–,–,–,–,6.23,–,–,41.1,–,–,586,82.3,72.7,6.65,32.8,14.5,9.34,1.57,–,–,–,1.11
W,W16X40,W16X40,F,40,11.8,16,–,–,–,7,–,–,–,0.305,0.505,–,–,–,0.907,–,–,–,–,–,6.93,–,–,46.5,–,–,518,73,64.7,6.63,28.9,12.7,8.25,1.57,–,–,–,0.794
W,W16X36,W16X36,F,36,10.6,15.9,–,–,–,6.99,–,–,–,0.295,0.43,–,–,–,0.832,–,–,–,–,–,8.12,–,–,48.1,–,–,448,64,56.5,6.51,24.5,10.8,7,1.52,–,–,–,0.545
W,W16X31,W16X31,F,31,9.13,15.9,–,–,–,5.53,–,–,–,0.275,0.44,–,–,–,0.842,–,–,–,–,–,6.28,–,–,51.6,–,–,375,54,47.2,6.41,12.4,7.03,4.49,1.17,–,–,–,0.461
W,W16X26,W16X26,F,26,7.68,15.7,–,–,–,5.5,–,–,–,0.25,0.345,–,–,–,0.747,–,–,–,–,–,7.97,–,–,56.8,–,–,301,44.2,38.4,6.26,9.59,5.48,3.49,1.12,–,–,–,0.262
