Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,Ht,h,OD,bf,B,b,ID,tw,tf,t,tnom,tdes,kdes,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J
W,W12X79,W12X79,F,79.0,23.2,12.4,–,–,–,12.1,–,–,–,0.470,0.735,–,–,–,1.33,–,–,–,–,–,8.22,–,–,20.7,–,–,662,119,107,5.34,216,54.3,35.8,3.05,–,–,–,3.84
W,W12X72,W12X72,F,72.0,21.1,12.3,–,–,–,12.0,–,–,–,0.430,0.670,–,–,–,1.27,–,–,–,–,–,8.99,–,–,22.6,–,–,597,108,97.4,5.31,195,49.2,32.4,3.04,–,–,–,2.93
W,W12X58,W12X58,F,58.0,17.0,12.2,–,–,–,10.0,–,–,–,0.360,0.640,–,–,–,1.24,–,–,–,–,–,7.82,–,–,27.0,–,–,475,86.4,78.0,5.28,107,32.5,21.4,2.51,–,–,–,2.10
W,W12X53,W12X53,F,53.0,15.6,12.1,–,–,–,10.0,–,–,–,0.345,0.575,–,–,–,1.18,–,–,–,–,–,8.69,–,–,28.1,–,–,425,77.9,70.6,5.23,95.8,29.1,19.2,2.48,–,–,–,1.58
W,W12X50,W12X50,F,50.0,14.6,12.2,–,–,–,8.08,–,–,–,0.370,0.640,–,–,–,1.14,–,–,–,–,–,6.31,–,–,26.8,–,–,391,71.9,64.2,5.18,56.3,21.3,13.9,1.96,–,–,–,1.71
W,W12X45,W12X45,F,45.0,13.1,12.1,–,–,–,8.05,–,–,–,0.335,0.575,–,–,–,1.08,–,–,–,–,–,7.00,–,–,29.6,–,–,348,64.2,57.7,5.15,50.0,19.0,12.4,1.95,–,–,–,1.26
W,W12X40,W12X40,F,40.0,11.7,11.9,–,–,–,8.01,–,–,–,0.295,0.515,–,–,–,1.02,–,–,–,–,–,7.77,–,–,33.6,–,–,307,57.0,51.5,5.13,44.1,16.8,11.0,1.94,–,–,–,0.906
W,W10X112,W10X112,F,112,32.9,11.4,–,–,–,10.4,–,–,–,0.755,1.25,–,–,–,1.75,–,–,–,–,–,4.17,–,–,10.4,–,–,716,147,126,4.66,236,69.2,45.3,2.68,–,–,–,15.1
W,W10X100,W10X100,F,100,29.3,11.1,–,–,–,10.3,–,–,–,0.680,1.12,–,–,–,1.62,–,–,–,–,–,4.62,–,–,11.6,–,–,623,130,112,4.60,207,61.0,40.0,2.65,–,–,–,10.9
W,W10X88,W10X88,F,88.0,26.0,10.8,–,–,–,10.3,–,–,–,0.605,0.990,–,–,–,1.49,–,–,–,–,–,5.18,–,–,13.0,–,–,534,113,98.5,4.54,179,53.1,34.8,2.63,–,–,–,7.53
W,W10X77,W10X77,F,77.0,22.7,10.6,–,–,–,10.2,–,–,–,0.530,0.870,–,–,–,1.37,–,–,–,–,–,5.86,–,–,14.8,–,–,455,97.6,85.9,4.49,154,45.9,30.1,2.60,–,–,–,5.11
W,W10X68,W10X68,F,68.0,19.9,10.4,–,–,–,10.1,–,–,–,0.470,0.770,–,–,–,1.27,–,–,–,–,–,6.58,–,–,16.7,–,–,394,85.3,75.7,4.44,134,40.1,26.4,2.59,–,–,–,3.56
W,W10X60,W10X60,F,60.0,17.7,10.2,–,–,–,10.1,–,–,–,0.420,0.680,–,–,–,1.18,–,–,–,–,–,7.41,–,–,18.7,–,–,341,74.6,66.7,4.39,116,35.0,23.0,2.57,–,–,–,2.48
W,W10X54,W10X54,F,54.0,15.8,10.1,–,–,–,10.0,–,–,–,0.370,0.615,–,–,–,1.12,–,–,–,–,–,8.15,–,–,21.2,–,–,303,66.6,60.0,4.37,103,31.3,20.6,2.56,–,–,–,1.82
W,W10X49,W10X49,F,49.0,14.4,10.0,–,–,–,10.0,–,–,–,0.340,0.560,–,–,–,1.06,–,–,–,–,–,8.93,–,–,23.1,–,–,272,60.4,54.6,4.35,93.4,28.3,18.7,2.54,–,–,–,1.39
W,W10X45,W10X45,F,45.0,13.3,10.1,–,–,–,8.02,–,–,–,0.350,0.620,–,–,–,1.12,–,–,–,–,–,6.47,–,–,22.5,–,–,248,54.9,49.1,4.32,53.4,20.3,13.3,2.01,–,–,–,1.51
W,W10X39,W10X39,F,39.0,11.5,9.92,–,–,–,7.99,–,–,–,0.315,0.530,–,–,–,1.03,–,–,–,–,–,7.53,–,–,25.0,–,–,209,46.8,42.1,4.27,45.0,17.2,11.3,1.98,–,–,–,0.976
W,W10X33,W10X33,F,33.0,9.71,9.73,–,–,–,7.96,–,–,–,0.290,0.435,–,–,–,0.935,–,–,–,–,–,9.15,–,–,27.1,–,–,171,38.8,35.0,4.19,36.6,14.0,9.20,1.94,–,–,–,0.583
W,W10X30,W10X30,F,30.0,8.84,10.5,–,–,–,5.81,–,–,–,0.300,0.510,–,–,–,0.810,–,–,–,–,–,5.70,–,–,29.5,–,–,170,36.6,32.4,4.38,16.7,8.84,5.75,1.37,–,–,–,0.622
W,W10X26,W10X26,F,26.0,7.61,10.3,–,–,–,5.77,–,–,–,0.260,0.440,–,–,–,0.740,–,–,–,–,–,6.56,–,–,34.0,–,–,144,31.3,27.9,4.35,14.1,7.50,4.89,1.36,–,–,–,0.402
W,W10X19,W10X19,F,19.0,5.62,10.2,–,–,–,4.02,–,–,–,0.250,0.395,–,–,–,0.695,–,–,–,–,–,5.09,–,–,35.4,–,–,96.3,21.6,18.8,4.14,4.29,3.35,2.14,0.874,–,–,–,0.233
